#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321AA21BA
#Date Time: 2023-11-25 16:30:21.994
#Trace: Trace
#Start: 500000 Hz
#Stop: 5e+06 Hz
#Steps: 501
#Resistor: 1000 ?
#Average: 1
#ProbeResistance: 1.04e+06 ?
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 5 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 60.1568 V
#Offset: 0.000698911 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 60.9044 V
#Offset: 0.00197368 V
#Attenuation: 1 X

Frequency (Hz)	Trace Rs (?)	Trace Xs (?)
500000	245.586	-992.655
502308	236.942	-969.854
504626	231.569	-961.996
506956	222.787	-945.541
509296	213.632	-937.111
511646	215.524	-921.343
514008	212.47	-914.631
516381	215.444	-903.951
518764	216.168	-904.659
521159	227.011	-900.727
523564	214.93	-903.329
525981	222.276	-917.167
528409	202.77	-914.056
530848	203.459	-927.702
533298	190.198	-908.986
535760	181.178	-925.008
538233	190.009	-906.1
540717	168.776	-929.187
543213	176.678	-929.181
545720	129.459	-927.236
548239	129.379	-937.535
550770	98.0965	-908.926
553312	82.7259	-910.515
555866	72.8202	-883.828
558432	59.882	-874.764
561009	54.4168	-853.995
563599	49.3847	-842.359
566200	49.1931	-823.661
568814	44.4653	-816.324
571439	49.0118	-799.362
574077	42.7218	-792.055
576727	49.2498	-780.823
579389	42.3378	-769.264
582063	48.186	-763.198
584750	46.5755	-752.406
587449	48.0144	-746.732
590160	45.6347	-736.577
592884	48.4575	-734.291
595621	49.023	-720.202
598370	45.881	-718.202
601132	51.9773	-707.309
603907	46.7016	-700.992
606694	52.4929	-700.489
609495	49.0505	-686.826
612308	46.0109	-683.692
615134	49.1091	-671.845
617974	49.0654	-665.62
620826	54.2631	-661.464
623692	53.6427	-652.269
626571	52.4469	-645.72
629463	53.096	-636.116
632368	57.166	-627.717
635287	60.9434	-617.115
638219	64.4903	-613.488
641165	70.7405	-606.935
644125	68.8681	-595.547
647098	76.4149	-593.318
650085	91.8574	-579.686
653085	93.7975	-574.626
656100	109.439	-582.994
659128	115.036	-575.493
662171	120.132	-574.559
665227	136.527	-571.79
668298	137.606	-575.603
671382	156.079	-588.768
674481	179.846	-585.763
677595	170.94	-608.709
680722	166.829	-639.956
683864	172.575	-634.258
687021	148.825	-653.092
690192	131.487	-683.893
693378	127.873	-665.062
696578	91.3224	-666.584
699794	76.9736	-668.792
703024	78.6196	-644.639
706269	60.1647	-638.822
709529	52.3966	-638.985
712804	60.3618	-619.205
716094	45.185	-610.224
719399	42.0972	-611.803
722720	50.6232	-597.522
726056	41.2753	-590.284
729407	35.7981	-588.801
732774	46.4743	-574.81
736156	35.0205	-572.075
739554	30.1485	-568.914
742968	39.5514	-574.133
746397	29.6362	-551.175
749842	25.7737	-547.87
753304	24.9349	-547.64
756781	31.8372	-527.46
760274	24.5595	-525.93
763783	23.4939	-524.304
767308	33.4958	-525.779
770850	26.8539	-505.462
774408	25.2454	-503.156
777983	25.7271	-502.244
781574	44.022	-490.558
785181	26.4066	-487.233
788806	25.9812	-486.288
792447	27.3539	-488.15
796104	46.0342	-463.603
799779	23.6419	-463.5
803471	24.3912	-463.689
807179	26.9077	-465.209
810905	52.9993	-456.465
814648	26.4261	-440.89
818408	22.696	-443.13
822186	21.7414	-443.172
825981	33.1062	-448.5
829793	30.8421	-410.744
833624	22.1029	-413.587
837471	22.633	-413.676
841337	26.0744	-414.57
845220	53.2322	-413.715
849122	35.3359	-382.29
853041	29.173	-385.961
856979	27.784	-388.647
860934	30.4104	-391.712
864908	47.0486	-395.61
868900	43.5506	-354.046
872911	29.9404	-354.134
876940	26.5222	-353.711
880988	27.1326	-353.606
885054	33.1496	-355.79
889140	61.5987	-346.364
893244	48.8113	-308.532
897367	39.5047	-306.556
901509	39.7617	-304.356
905670	42.2658	-303.146
909850	50.6012	-306.888
914050	69.3993	-312.392
918269	99.335	-286.255
922508	87.1517	-263.325
926766	82.9969	-266.025
931044	82.7015	-274.359
935341	80.4796	-282.914
939658	71.8249	-290.996
943996	64.404	-293.28
948353	73.0868	-289.437
952730	96.234	-264.063
957128	84.3926	-220.197
961546	67.6596	-204.833
965984	56.9323	-194.759
970443	53.1988	-186.28
974922	54.8004	-175.607
979422	62.478	-167.507
983943	75.1623	-160.516
988485	86.8365	-165.154
993047	90.5228	-162.881
997631	98.9899	-152.531
1.00224e+06	113.797	-131.595
1.00686e+06	138.032	-105.096
1.01151e+06	166.358	-71.7354
1.01618e+06	202.237	-29.5019
1.02087e+06	234.94	14.6813
1.02558e+06	272.747	61.1906
1.03031e+06	299.96	103.667
1.03507e+06	341.553	137.739
1.03985e+06	379.636	164.725
1.04465e+06	403.703	203.46
1.04947e+06	445.228	276.612
1.05431e+06	574.913	348.946
1.05918e+06	756.849	345.713
1.06407e+06	909.901	256.312
1.06898e+06	1036.08	164.882
1.07392e+06	1149.04	24.6453
1.07887e+06	1198.55	-127.139
1.08385e+06	1311.36	-286.842
1.08885e+06	1328.01	-604.695
1.09388e+06	1135.39	-866.617
1.09893e+06	883.207	-983.881
1.104e+06	672.749	-965.519
1.1091e+06	546.424	-928.874
1.11422e+06	421.358	-883.077
1.11936e+06	331.277	-794.923
1.12453e+06	291.078	-700.781
1.12972e+06	303.22	-609.759
1.13493e+06	357.442	-555.29
1.14017e+06	408.722	-589.272
1.14543e+06	395.65	-628.24
1.15072e+06	352.404	-630.178
1.15603e+06	345.566	-604.015
1.16137e+06	354.154	-621.124
1.16673e+06	319.549	-636.463
1.17211e+06	280.134	-619.666
1.17752e+06	266.043	-590.067
1.18296e+06	253.5	-566.507
1.18842e+06	244.664	-525.919
1.19391e+06	278.698	-451.808
1.19942e+06	393.594	-489.465
1.20495e+06	386.336	-560.721
1.21051e+06	339.186	-580.219
1.2161e+06	346.49	-541.668
1.22172e+06	398.764	-553.125
1.22735e+06	427.747	-614.777
1.23302e+06	424.526	-669.642
1.23871e+06	335.905	-797.511
1.24443e+06	271.751	-739.726
1.25017e+06	241.994	-747.54
1.25594e+06	194.534	-734.71
1.26174e+06	162.303	-703.89
1.26756e+06	190.282	-687.21
1.27342e+06	131.745	-688.71
1.27929e+06	119.488	-667.321
1.2852e+06	112.67	-650.973
1.29113e+06	112.839	-640.295
1.29709e+06	116.244	-649.001
1.30308e+06	69.5874	-638.676
1.30909e+06	58.0677	-615.844
1.31513e+06	54.7415	-596.233
1.3212e+06	54.9967	-580.869
1.3273e+06	39.7952	-580.829
1.33343e+06	36.52	-560.647
1.33958e+06	36.2873	-544.949
1.34577e+06	39.0699	-531.408
1.35198e+06	32.2204	-528.979
1.35822e+06	33.9375	-512.886
1.36449e+06	36.3764	-501.841
1.37079e+06	55.9534	-492.333
1.37711e+06	47.3345	-491.614
1.38347e+06	51.3241	-491.709
1.38986e+06	49.3868	-488.622
1.39627e+06	40.2969	-494.073
1.40272e+06	35.8342	-483.886
1.40919e+06	35.3738	-474.619
1.4157e+06	34.6795	-474.814
1.42223e+06	32.8344	-469.135
