#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321AA21BA
#Date Time: 2023-10-14 17:37:02.336
#Trace: Trace
#Start: 500000 Hz
#Stop: 5e+06 Hz
#Steps: 501
#Resistor: 100 ?
#Average: 1
#ProbeResistance: 1.04e+06 ?
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 2 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.48031 V
#Offset: -6.64227e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54429 V
#Offset: 8.32559e-06 V
#Attenuation: 1 X

Frequency (Hz)	Trace ? (°)	Trace |Z| (?)	Trace Rs (?)	Trace Xs (?)
500000	-73.458	1045.73	297.739	-1002.45
502308	-74.1826	1032.06	281.31	-992.976
504626	-75.0548	1020.11	263.082	-985.607
506956	-75.3364	998.421	252.744	-965.901
509296	-75.6923	992.112	245.179	-961.339
511646	-75.9986	979.012	236.868	-949.925
514008	-75.9465	970.676	235.707	-941.623
516381	-76.0143	963.159	232.776	-934.607
518764	-76.3834	957.279	225.366	-930.373
521159	-76.6629	949.776	219.095	-924.16
523564	-76.7158	941.793	216.407	-916.593
525981	-76.6409	935.476	216.146	-910.163
528409	-76.1982	934.106	222.844	-907.135
530848	-75.9959	936.618	226.653	-908.78
533298	-76.1913	952.581	227.362	-925.05
535760	-77.1787	955.757	212.093	-931.927
538233	-78.1068	951.725	196.138	-931.295
540717	-78.6129	953.715	188.298	-934.942
543213	-79.1466	952.779	179.405	-935.736
545720	-80.5141	950.979	156.727	-937.976
548239	-81.4092	946.409	141.371	-935.791
550770	-82.5652	929.219	120.239	-921.407
553312	-83.4322	918.209	105.024	-912.183
555866	-83.8104	900.141	97.0524	-894.894
558432	-84.4087	886.024	86.3269	-881.809
561009	-84.6681	874.712	81.2825	-870.927
563599	-84.9129	858.516	76.1251	-855.134
566200	-85.1724	846.355	71.2267	-843.352
568814	-85.1573	834.357	70.4371	-831.378
571439	-85.2593	821.383	67.8848	-818.573
574077	-85.2096	812.32	67.8379	-809.482
576727	-85.1107	800.294	68.2094	-797.382
579389	-85.0182	790.627	68.6576	-787.64
582063	-84.6686	782.343	72.6919	-778.959
584750	-84.3944	776.422	75.8408	-772.709
587449	-84.1745	774.368	78.5978	-770.369
590160	-84.1215	772.206	79.0887	-768.145
592884	-84.304	771.328	76.5545	-767.519
595621	-84.6687	768.045	71.3625	-764.722
598370	-84.9645	763.891	67.0496	-760.942
601132	-85.4652	756.499	59.8126	-754.131
603907	-85.8963	748.298	53.5497	-746.379
606694	-86.1299	738.792	49.8639	-737.107
609495	-86.3526	729.046	46.3788	-727.569
612308	-86.3934	718.985	45.2285	-717.561
615134	-86.4923	709.138	43.3867	-707.81
617974	-86.4663	700.578	43.1805	-699.246
620826	-86.4141	690.842	43.2085	-689.49
623692	-86.4425	681.972	42.3169	-680.657
626571	-86.2392	672.473	44.1087	-671.024
629463	-86.1226	663.18	44.8458	-661.662
632368	-85.8774	655.224	47.1049	-653.528
635287	-85.4637	646.231	51.1107	-644.207
638219	-85.1651	639.757	53.9219	-637.481
641165	-84.8065	633.925	57.3823	-631.323
644125	-84.5555	626.653	59.4575	-623.826
647098	-84.3612	620.355	60.9539	-617.353
650085	-83.9465	614.462	64.7998	-611.035
653085	-83.7496	606.095	65.9876	-602.492
656100	-83.245	597.54	70.2852	-593.392
659128	-82.595	586.649	75.6083	-581.756
662171	-81.7173	578.151	83.2872	-572.12
665227	-80.3269	570.882	95.9236	-562.766
668298	-78.7537	563.002	109.801	-552.191
671382	-77.2015	565.102	125.183	-551.062
674481	-74.8499	568.391	148.549	-548.636
677595	-72.4987	581.973	175.015	-555.034
680722	-71.0734	613.888	199.119	-580.698
683864	-70.9017	646.694	211.591	-611.099
687021	-72.3881	670.658	202.919	-639.223
690192	-74.907	700.95	182.518	-676.77
693378	-76.5463	714.516	166.239	-694.908
696578	-78.6548	710.582	139.786	-696.697
699794	-81.6476	702.927	102.107	-695.471
703024	-83.1345	692.418	82.7706	-687.453
706269	-84.0728	679.509	70.1697	-675.876
709529	-85.1617	660.692	55.7253	-658.338
712804	-85.6052	648.993	49.7312	-647.085
716094	-85.9014	636.497	45.4919	-634.869
719399	-86.1705	623.711	41.656	-622.319
722720	-86.2342	614.931	40.3874	-613.603
726056	-86.2863	606.636	39.2928	-605.362
729407	-86.3247	596.69	38.2491	-595.463
732774	-86.3347	591.472	37.8119	-590.262
736156	-86.2488	585.504	38.3055	-584.249
739554	-86.186	580.103	38.5867	-578.818
742968	-86.5056	575.194	35.0583	-574.124
746397	-86.7994	569.704	31.8072	-568.815
749842	-86.8939	562.027	30.454	-561.201
753304	-87.0396	554.732	28.6499	-553.991
756781	-87.082	548.098	27.9017	-547.387
760274	-87.104	542.222	27.395	-541.529
763783	-87.0888	535.021	27.1725	-534.33
767308	-87.1087	529.132	26.6899	-528.458
770850	-87.0348	522.131	27.0091	-521.432
774408	-86.8656	516.563	28.245	-515.791
777983	-86.7448	509.84	28.9502	-509.017
781574	-86.4987	505.114	30.8483	-504.171
785181	-86.3847	500.986	31.5903	-499.989
788806	-86.3291	497.258	31.837	-496.238
792447	-86.4952	493.252	30.1534	-492.329
796104	-86.531	488.169	29.5384	-487.275
799779	-86.449	483.962	29.9748	-483.033
803471	-86.2893	477.505	30.9032	-476.504
807179	-86.2339	471.967	31.0005	-470.948
810905	-86.0346	467.199	32.3085	-466.081
814648	-86.2023	464.479	30.7645	-463.459
818408	-86.3094	461.296	29.6931	-460.34
822186	-86.2775	455.358	29.5635	-454.397
825981	-86.1788	449.386	29.9485	-448.387
829793	-86.305	442.453	28.5141	-441.533
833624	-86.2872	438.066	28.3668	-437.147
837471	-86.2026	433.245	28.6935	-432.294
841337	-85.9514	427.982	30.2165	-426.914
845220	-85.7165	421.339	31.4703	-420.162
849122	-85.8775	415.548	29.8732	-414.472
853041	-85.8529	410.587	29.6926	-409.512
856979	-85.6529	405.984	30.7731	-404.816
860934	-85.3174	400.989	32.7353	-399.651
864908	-84.7203	395.643	36.406	-393.964
868900	-84.6214	389.973	36.5545	-388.256
872911	-84.6446	387.162	36.1352	-385.472
876940	-84.572	384.316	36.3542	-382.593
880988	-84.681	378.61	35.0975	-376.979
885054	-84.7961	372.497	33.7859	-370.962
889140	-84.6175	364.181	34.1618	-362.575
893244	-84.7314	355.292	32.6246	-353.791
897367	-84.7076	348.265	32.1232	-346.781
901509	-84.257	341.437	34.1666	-339.724
905670	-83.3595	334.608	38.6937	-332.363
909850	-82.322	327.636	43.7738	-324.698
914050	-80.9803	321.184	50.3532	-317.213
918269	-79.8244	313.842	55.445	-308.906
922508	-78.9039	311.625	59.9739	-305.799
926766	-78.2828	311.676	63.2956	-305.182
931044	-77.7862	312.084	66.0245	-305.02
935341	-77.1942	314.208	69.6432	-306.393
939658	-76.672	316.459	72.9519	-307.936
943996	-77.1754	318.958	70.7981	-311.002
948353	-78.2658	314.415	63.9432	-307.845
952730	-79.0372	300.484	57.1433	-295.001
957128	-79.9189	287.258	50.282	-282.823
961546	-80.2857	276.479	46.6519	-272.515
965984	-80.2385	265.69	45.0469	-261.843
970443	-79.9158	255.895	44.8059	-251.941
974922	-79.5827	247.385	44.7309	-243.307
979422	-79.5397	239.088	43.4073	-235.115
983943	-79.6976	229.74	41.0872	-226.036
988485	-79.2593	220.17	41.0318	-216.313
993047	-77.5966	211.503	45.4293	-206.567
997631	-74.3091	200.059	54.1055	-192.603
1.00224e+06	-70.6596	187.296	62.0286	-176.726
1.00686e+06	-66.11	174.362	70.6134	-159.423
1.01151e+06	-61.4444	161.377	77.14	-141.746
1.01618e+06	-55.5508	150.069	84.8906	-123.751
1.02087e+06	-48.6412	138.248	91.3505	-103.767
1.02558e+06	-40.0013	128.689	98.5799	-82.7221
1.03031e+06	-29.7796	123.893	107.532	-61.5333
1.03507e+06	-18.168	126.601	120.289	-39.4748
1.03985e+06	-7.29686	138.453	137.331	-17.5849
1.04465e+06	1.13605	148.498	148.469	2.9442
